Module,Framework,Generated,Score
PASCAL,Major,60,93.33333333333333
PASCAL,PITest,14,100.0
FIND_IN_SORTED,Major,36,94.44444444444444
FIND_IN_SORTED,PITest,14,100.0
LIS,Major,57,84.21052631578947
LIS,PITest,14,78.57142857142857
POSSIBLE_CHANGE,Major,36,88.88888888888889
POSSIBLE_CHANGE,PITest,8,87.5
LCS_LENGTH,Major,93,75.26881720430107
LCS_LENGTH,PITest,22,86.36363636363636
KNAPSACK,Major,105,87.61904761904762
KNAPSACK,PITest,21,95.23809523809523
module_1_bst,Major,29,72.41379310344827
module_1_bst,PITest,18,83.33333333333334
FIND_FIRST_IN_SORTED,Major,55,80.0
FIND_FIRST_IN_SORTED,PITest,13,92.3076923076923
POWERSET,Major,23,91.30434782608695
POWERSET,PITest,3,100.0
module_6_LRUCache,Major,43,72.09302325581395
module_6_LRUCache,PITest,12,83.33333333333334
module_4_djikstra,Major,86,69.76744186046511
module_4_djikstra,PITest,23,78.26086956521739
GCD,Major,10,90.0
GCD,PITest,4,100.0
KHEAPSORT,Major,10,100.0
KHEAPSORT,PITest,2,100.0
SQRT,Major,33,90.9090909090909
SQRT,PITest,9,44.44444444444444
LONGEST_COMMON_SUBSEQUENCE,Major,24,100.0
LONGEST_COMMON_SUBSEQUENCE,PITest,7,100.0
FLATTEN,Major,7,71.42857142857143
FLATTEN,PITest,4,75.0
TO_BASE,Major,16,93.75
TO_BASE,PITest,5,80.0
module_5_pricingengine,Major,76,97.36842105263158
module_5_pricingengine,PITest,24,95.83333333333334
SIEVE,Major,38,81.57894736842105
SIEVE,PITest,15,80.0
LEVENSHTEIN,Major,31,100.0
LEVENSHTEIN,PITest,8,100.0
BITCOUNT,Major,18,94.44444444444444
BITCOUNT,PITest,5,60.0
BUCKETSORT,Major,16,93.75
BUCKETSORT,PITest,3,100.0
IS_VALID_PARENTHESIZATION,Major,24,91.66666666666666
IS_VALID_PARENTHESIZATION,PITest,10,100.0
SHUNTING_YARD,Major,31,96.7741935483871
SHUNTING_YARD,PITest,7,100.0
NEXT_PERMUTATION,Major,59,81.35593220338984
NEXT_PERMUTATION,PITest,15,80.0
module_3_orderstatemachine,Major,17,76.47058823529412
module_3_orderstatemachine,PITest,7,85.71428571428571
KTH,Major,29,96.55172413793103
KTH,PITest,13,100.0
MAX_SUBLIST_SUM,Major,13,92.3076923076923
MAX_SUBLIST_SUM,PITest,2,100.0
module_7_rpnevaluator,Major,58,93.10344827586206
module_7_rpnevaluator,PITest,21,95.23809523809523
GET_FACTORS,Major,36,86.11111111111111
GET_FACTORS,PITest,10,90.0
QUICKSORT,Major,24,91.66666666666666
QUICKSORT,PITest,7,85.71428571428571
module_2_jarowinkler,Major,416,77.40384615384616
module_2_jarowinkler,PITest,103,87.37864077669903
SUBSEQUENCES,Major,44,93.18181818181817
SUBSEQUENCES,PITest,10,100.0
MERGESORT,Major,50,84.0
MERGESORT,PITest,14,92.85714285714286
