Module,Framework,Iteration,Status,Time_Sec,RAM_MB
PASCAL,Major,1,success,6.49,324.17
PASCAL,PITest,1,success,4.32,298.33
PASCAL,Major,2,success,5.08,312.45
PASCAL,PITest,2,success,3.80,303.58
PASCAL,Major,3,success,3.55,322.17
PASCAL,PITest,3,success,3.22,297.80
PASCAL,Major,4,success,4.07,316.17
PASCAL,PITest,4,success,3.34,303.80
PASCAL,Major,5,success,3.66,304.52
PASCAL,PITest,5,success,3.27,312.05
PASCAL,Major,6,success,3.78,313.67
PASCAL,PITest,6,success,3.03,311.75
PASCAL,Major,7,success,3.47,295.14
PASCAL,PITest,7,success,3.01,295.95
PASCAL,Major,8,success,3.47,310.69
PASCAL,PITest,8,success,3.48,328.95
PASCAL,Major,9,success,4.33,305.81
PASCAL,PITest,9,success,3.14,296.05
PASCAL,Major,10,success,3.58,313.67
PASCAL,PITest,10,success,3.17,315.23
PASCAL,Major,11,success,3.58,318.64
PASCAL,PITest,11,success,3.09,303.58
PASCAL,Major,12,success,3.52,308.14
PASCAL,PITest,12,success,3.18,299.69
PASCAL,Major,13,success,3.60,313.94
PASCAL,PITest,13,success,3.05,309.47
PASCAL,Major,14,success,3.47,291.83
PASCAL,PITest,14,success,3.04,304.52
PASCAL,Major,15,success,3.57,303.92
PASCAL,PITest,15,success,3.17,312.38
PASCAL,Major,16,success,3.60,308.67
PASCAL,PITest,16,success,2.94,312.78
PASCAL,Major,17,success,3.50,310.77
PASCAL,PITest,17,success,2.94,296.94
PASCAL,Major,18,success,3.37,303.52
PASCAL,PITest,18,success,3.06,315.61
PASCAL,Major,19,success,3.37,326.64
PASCAL,PITest,19,success,2.95,272.20
PASCAL,Major,20,success,3.37,317.19
PASCAL,PITest,20,success,2.93,309.20
PASCAL,Major,21,success,3.37,327.78
PASCAL,PITest,21,success,2.95,279.34
PASCAL,Major,22,success,3.37,323.86
PASCAL,PITest,22,success,3.05,304.64
PASCAL,Major,23,success,3.38,313.36
PASCAL,PITest,23,success,2.93,315.62
PASCAL,Major,24,success,3.38,325.61
PASCAL,PITest,24,success,3.07,317.44
PASCAL,Major,25,success,3.38,310.36
PASCAL,PITest,25,success,2.92,319.47
PASCAL,Major,26,success,3.27,292.64
PASCAL,PITest,26,success,2.95,309.66
PASCAL,Major,27,success,3.37,284.83
PASCAL,PITest,27,success,2.95,288.89
PASCAL,Major,28,success,3.31,266.91
PASCAL,PITest,28,success,3.06,290.16
PASCAL,Major,29,success,3.38,311.92
PASCAL,PITest,29,success,2.85,295.80
PASCAL,Major,30,success,3.28,316.44
PASCAL,PITest,30,success,2.84,317.41
FIND_IN_SORTED,Major,1,success,3.82,263.34
FIND_IN_SORTED,PITest,1,success,3.19,294.67
FIND_IN_SORTED,Major,2,success,3.37,309.34
FIND_IN_SORTED,PITest,2,success,3.06,311.36
FIND_IN_SORTED,Major,3,success,3.29,305.73
FIND_IN_SORTED,PITest,3,success,2.86,320.05
FIND_IN_SORTED,Major,4,success,3.40,294.42
FIND_IN_SORTED,PITest,4,success,2.97,310.62
FIND_IN_SORTED,Major,5,success,3.28,296.59
FIND_IN_SORTED,PITest,5,success,2.97,306.77
FIND_IN_SORTED,Major,6,success,3.19,295.86
FIND_IN_SORTED,PITest,6,success,2.96,323.97
FIND_IN_SORTED,Major,7,success,3.29,295.25
FIND_IN_SORTED,PITest,7,success,2.94,313.81
FIND_IN_SORTED,Major,8,success,3.16,308.67
FIND_IN_SORTED,PITest,8,success,2.95,289.33
FIND_IN_SORTED,Major,9,success,4.51,293.44
FIND_IN_SORTED,PITest,9,success,2.84,301.47
FIND_IN_SORTED,Major,10,success,3.14,301.38
FIND_IN_SORTED,PITest,10,success,2.85,309.97
FIND_IN_SORTED,Major,11,success,3.17,306.73
FIND_IN_SORTED,PITest,11,success,2.84,305.72
FIND_IN_SORTED,Major,12,success,3.40,307.41
FIND_IN_SORTED,PITest,12,success,2.85,310.81
FIND_IN_SORTED,Major,13,success,3.26,292.95
